GEOID,2023 Median Household Income
210039202.0,64399
210039203.0,37892
210039204.0,45402
210039205.0,43905
210039206.0,60238
210350101.0,52007
210350102.0,71308
210350103.01,7875
210350103.03,18231
210350103.04,44962
210350104.0,31615
210350105.0,39944
210350106.01,52488
210350106.02,86411
210350107.0,58330
210350108.0,44101
210472013.01,78260
210472013.03,48964
210472013.04,52852
210472014.0,64811
210472015.01,48122
210472015.02,42091
210472015.03,51862
210479801.0,0
210539701.0,41790
210539702.02,37828
210539702.03,41061
210539702.04,29371
210579502.0,39396
210759601.0,35301
210759602.0,35689
210830202.0,53600
210830203.01,33598
210830203.02,35796
210830204.0,58088
210830205.0,51888
210830206.0,60441
210830209.0,54322
211059701.0,48248
211419604.0,46743
211419606.0,53927
211719302.0,35314
211719303.0,51505
211719304.0,37352
212139701.0,63891
212139702.0,58942
212139704.01,64481
212139704.02,41413
212199503.0,34517
212199504.0,81253
212219702.02,64948
212219703.02,58321
212219801.0,0
212219802.0,0
470039501.0,75155
470039502.01,79195
470039502.02,57050
470039503.0,58554
470039504.01,68242
470039504.02,45629
470039505.0,50855
470039506.0,54120
470039507.0,62926
470039508.0,75516
470059630.0,50763
470059631.0,53366
470059632.0,44846
470059633.0,42470
470059634.0,40270
470079530.0,44299
470079531.01,80639
470079531.02,54288
470079532.0,59991
470159601.0,57954
470159602.01,39966
470159602.02,56051
470159603.0,63964
470179620.0,40777
470179621.01,45795
470179621.02,40517
470179622.01,37361
470179622.02,62798
470179623.0,52759
470179624.0,55103
470179625.0,46857
470179801.0,0
470210701.02,75339
470210701.03,68009
470210701.04,55997
470210702.01,88691
470210702.02,61038
470210702.03,69539
470210703.0,60575
470210704.01,79721
470210704.02,83029
470239701.01,67596
470239701.02,55930
470239702.0,43030
470239703.01,47252
470239703.02,51643
470279550.0,33879
470279551.0,42543
470319701.0,57192
470319702.01,54642
470319702.02,51707
470319703.0,61616
470319704.01,74864
470319704.02,53698
470319705.01,44537
470319705.02,64784
470319706.0,53498
470319707.0,54709
470319708.01,52902
470319708.03,64199
470319708.04,76955
470319709.0,31150
470319710.01,58902
470319710.02,50803
