GEOID,2023 Population Density
210039202.0,53.1
210039203.0,188.4
210039204.0,88.9
210039205.0,20.2
210039206.0,54.9
210350101.0,48.3
210350102.0,57.7
210350103.01,4349.0
210350103.03,1753.2
210350103.04,315.0
210350104.0,241.7
210350105.0,255.3
210350106.01,2007.7
210350106.02,527.7
210350107.0,43.2
210350108.0,32.2
210472013.01,35.1
210472013.03,866.5
210472013.04,557.0
210472014.0,24.3
210472015.01,6844.7
210472015.02,2457.1
210472015.03,1480.5
210479801.0,0.0
210539701.0,37.7
210539702.02,49.6
210539702.03,36.9
210539702.04,85.3
210579502.0,13.6
210759601.0,40.6
210759602.0,24.3
210830202.0,221.0
210830203.01,494.2
210830203.02,848.7
210830204.0,27.1
210830205.0,36.3
210830206.0,54.2
210830209.0,48.3
211059701.0,18.2
211419604.0,50.4
211419606.0,24.9
211719302.0,28.1
211719303.0,68.9
211719304.0,32.0
212139701.0,38.6
212139702.0,160.9
212139704.01,864.5
212139704.02,42.1
212199503.0,40.3
212199504.0,19.6
212219702.02,49.2
212219703.02,22.5
212219801.0,0.0
212219802.0,0.1
470039501.0,55.8
470039502.01,74.6
470039502.02,96.1
470039503.0,41.8
470039504.01,364.9
470039504.02,354.7
470039505.0,619.5
470039506.0,610.7
470039507.0,53.2
470039508.0,34.5
470059630.0,24.8
470059631.0,55.5
470059632.0,17.5
470059633.0,513.5
470059634.0,43.4
470079530.0,34.1
470079531.01,28.3
470079531.02,58.1
470079532.0,34.9
470159601.0,36.5
470159602.01,389.1
470159602.02,52.8
470159603.0,63.1
470179620.0,46.5
470179621.01,46.7
470179621.02,117.2
470179622.01,84.9
470179622.02,146.4
470179623.0,43.3
470179624.0,27.3
470179625.0,18.3
470179801.0,0.0
470210701.02,65.9
470210701.03,206.0
470210701.04,181.2
470210702.01,402.0
470210702.02,162.4
470210702.03,81.5
470210703.0,486.0
470210704.01,52.4
470210704.02,197.5
470239701.01,61.7
470239701.02,35.1
470239702.0,896.3
470239703.01,32.1
470239703.02,49.5
470279550.0,32.1
470279551.0,30.8
470319701.0,49.1
470319702.01,113.4
470319702.02,159.6
470319703.0,39.2
470319704.01,66.0
470319704.02,366.4
470319705.01,1343.3
470319705.02,1552.0
470319706.0,201.2
470319707.0,57.8
470319708.01,1303.4
470319708.03,94.7
470319708.04,956.6
470319709.0,1245.2
470319710.01,310.9
470319710.02,1239.3
470319801.0,0.1
470339610.0,40.7
470339611.0,72.0
470339614.0,107.3
470359702.02,35.3
470359703.01,66.4
470359703.02,70.8
470359704.02,168.2
470359706.01,484.8
470359707.01,311.0
470359707.02,40.5
470370101.03,143.3
470370101.04,126.8
470370101.05,423.7
470370101.06,420.4
470370102.01,461.8
470370102.02,156.0
470370103.01,1307.1
470370103.02,1195.4
470370103.03,3438.5
470370104.01,1450.4
470370104.03,4564.8
470370104.04,4303.4
470370105.01,1005.5
470370105.02,1954.2
470370106.01,837.9
470370106.02,3038.7
470370107.01,3473.9
470370107.02,3281.2
470370108.01,2882.7
470370108.02,1733.0
470370109.01,1582.5
470370109.03,2555.4
470370109.04,3149.3
470370110.01,2292.2
470370110.02,1819.8
470370111.0,2476.0
470370112.0,3542.5
470370113.0,3324.4
470370114.0,5285.7
470370115.0,2779.7
470370116.0,1772.0
470370117.0,4886.8
470370118.0,4855.3
470370119.0,5781.2
470370121.0,4594.1
470370122.0,2265.4
470370126.0,4215.4
470370127.01,2006.5
470370127.02,1894.4
470370128.01,1472.7
470370128.02,855.9
470370130.01,135.0
470370130.02,931.5
470370131.0,70.7
470370132.01,4235.2
470370132.02,3622.3
470370133.0,5620.9
470370134.0,3201.7
470370135.0,4680.1
470370136.0,3974.6
470370137.01,4218.8
470370137.02,2530.8
470370138.0,4383.3
470370139.0,4641.6
470370142.0,6078.6
470370143.0,3836.8
470370144.0,3565.8
470370148.0,18219.0
470370151.0,1450.9
470370152.0,1923.3
470370153.0,982.8
