GEOID,2023 Senior Population
210039202.0,457
210039203.0,1166
210039204.0,802
210039205.0,299
210039206.0,589
210350101.0,1071
210350102.0,979
210350103.01,0
210350103.03,240
210350103.04,578
210350104.0,362
210350105.0,650
210350106.01,824
210350106.02,1214
210350107.0,718
210350108.0,862
210472013.01,537
210472013.03,94
210472013.04,158
210472014.0,468
210472015.01,18
210472015.02,15
210472015.03,0
210479801.0,0
210539701.0,631
210539702.02,743
210539702.03,309
210539702.04,296
210579502.0,481
210759601.0,945
210759602.0,577
210830202.0,1014
210830203.01,946
210830203.02,387
210830204.0,563
210830205.0,813
210830206.0,396
210830209.0,641
211059701.0,1146
211419604.0,1135
211419606.0,618
211719302.0,479
211719303.0,582
211719304.0,1043
212139701.0,507
212139702.0,872
212139704.01,975
212139704.02,471
212199503.0,348
212199504.0,247
212219702.02,784
212219703.02,529
212219801.0,1
212219802.0,2
470039501.0,745
470039502.01,573
470039502.02,614
470039503.0,864
470039504.01,1017
470039504.02,1381
470039505.0,1202
470039506.0,1082
470039507.0,588
470039508.0,765
470059630.0,928
470059631.0,785
470059632.0,508
470059633.0,992
470059634.0,887
470079530.0,919
470079531.01,431
470079531.02,956
470079532.0,776
470159601.0,900
470159602.01,576
470159602.02,914
470159603.0,670
470179620.0,1080
470179621.01,720
470179621.02,969
470179622.01,722
470179622.02,943
470179623.0,1026
470179624.0,608
470179625.0,498
470179801.0,0
470210701.02,808
470210701.03,622
470210701.04,1145
470210702.01,639
470210702.02,963
470210702.03,681
470210703.0,668
470210704.01,508
470210704.02,1098
470239701.01,506
470239701.02,733
470239702.0,815
470239703.01,408
470239703.02,747
470279550.0,1311
470279551.0,598
470319701.0,813
470319702.01,694
470319702.02,849
470319703.0,412
470319704.01,468
470319704.02,900
470319705.01,312
470319705.02,1076
470319706.0,982
470319707.0,860
470319708.01,982
470319708.03,684
470319708.04,1088
470319709.0,629
470319710.01,323
470319710.02,1239
470319801.0,0
470339610.0,483
470339611.0,834
470339614.0,690
470359702.02,548
470359703.01,696
470359703.02,1177
470359704.02,693
470359706.01,1610
470359707.01,942
470359707.02,1323
470370101.03,706
470370101.04,806
470370101.05,1302
470370101.06,558
470370102.01,882
470370102.02,1069
470370103.01,893
470370103.02,321
470370103.03,848
470370104.01,804
470370104.03,461
470370104.04,248
470370105.01,1290
470370105.02,915
470370106.01,835
470370106.02,482
470370107.01,584
470370107.02,821
470370108.01,944
470370108.02,1105
470370109.01,673
470370109.03,593
470370109.04,475
470370110.01,897
470370110.02,395
470370111.0,774
470370112.0,649
470370113.0,696
470370114.0,794
470370115.0,723
470370116.0,1004
470370117.0,677
470370118.0,331
470370119.0,361
470370121.0,332
470370122.0,258
470370126.0,228
470370127.01,1124
470370127.02,692
470370128.01,1221
470370128.02,901
470370130.01,68
470370130.02,18
470370131.0,493
470370132.01,769
470370132.02,563
470370133.0,731
470370134.0,609
470370135.0,199
470370136.0,530
470370137.01,707
470370137.02,813
470370138.0,251
470370139.0,256
470370142.0,214
470370143.0,293
470370144.0,300
470370148.0,33
470370151.0,799
470370152.0,575
470370153.0,1584
470370154.01,1241
470370154.02,993
470370154.04,797
470370154.05,771
470370155.01,599
470370155.02,734
470370156.09,745
470370156.13,437
470370156.14,395
470370156.15,451
470370156.17,562
470370156.18,1049
470370156.19,841
470370156.2,718
470370156.22,524
470370156.23,713
470370156.24,448
470370156.25,761
470370156.26,491
470370156.27,414
470370156.28,339
470370156.29,535
470370156.3,423
470370156.32,385
470370156.33,954
470370156.34,1224
470370156.35,250
470370156.36,502
470370156.37,380
470370157.0,273
470370158.04,369
470370158.05,336
470370158.06,462
470370159.0,710
470370160.0,333
470370161.0,351
470370162.0,780
470370163.0,447
470370164.0,520
470370165.0,30
470370166.0,452
470370167.0,1379
470370168.0,371
470370169.0,590
470370170.0,372
470370171.0,562
470370172.0,352
470370173.0,440
470370174.01,307
470370174.02,668
470370175.0,563
470370177.01,532
470370177.02,857
470370178.0,908
470370179.01,1616
470370179.02,1621
470370180.0,1274
470370181.01,490
470370181.02,1126
470370182.01,752
470370182.03,350
470370182.04,409
470370182.05,423
470370183.02,409
470370183.03,791
470370183.04,753
470370184.04,1148
470370184.05,1008
470370184.07,846
470370184.08,536
470370184.09,1643
470370184.1,576
470370184.11,470
470370184.12,901
470370185.0,1224
470370186.01,626
470370186.02,1183
470370187.0,1023
470370188.01,1167
470370188.03,977
470370188.04,1135
470370189.01,558
470370189.02,454
470370189.04,452
470370189.05,248
470370190.03,339
470370190.04,491
470370190.07,402
470370190.08,473
470370191.05,928
470370191.06,379
470370191.08,253
470370191.09,652
470370191.1,483
470370191.11,398
470370191.12,847
470370191.15,613
470370191.16,853
470370191.17,587
470370191.18,389
470370191.19,1052
470370191.2,308
470370191.21,488
470370192.0,427
470370193.0,421
470370194.01,583
470370194.02,611
470370195.01,381
470370195.02,513
470370195.03,590
470370196.0,544
470379801.0,0
470379802.0,0
470399550.01,513
470399550.03,603
470399550.04,542
470399551.01,448
470399551.02,828
470419201.01,651
470419201.02,987
470419202.01,1195
470419202.02,413
470419203.0,1226
470430601.0,844
470430602.01,712
470430602.02,580
470430603.0,1222
470430604.01,718
470430604.02,1221
470430605.01,1378
470430605.02,772
470430606.01,701
470430606.02,1039
470430607.0,868
470499650.0,908
470499653.0,1123
470519601.0,891
470519602.01,1742
470519602.02,1208
470519603.0,780
470519604.01,822
470519604.02,1038
470519605.0,1053
470519606.0,1186
470519607.0,683
470519608.0,588
