GEOID,2023 Total Population
210039202.0,3006
210039203.0,5079
210039204.0,4567
210039205.0,1387
210039206.0,3299
210350101.0,4300
210350102.0,4454
210350103.01,2248
210350103.03,3006
210350103.04,3707
210350104.0,2590
210350105.0,3073
210350106.01,3065
210350106.02,4126
210350107.0,3212
210350108.0,3166
210472013.01,3240
210472013.03,4209
210472013.04,3767
210472014.0,3083
210472015.01,5280
210472015.02,3793
210472015.03,4070
210479801.0,0
210539701.0,2770
210539702.02,3258
210539702.03,1483
210539702.04,1522
210579502.0,2030
210759601.0,3457
210759602.0,2931
210830202.0,4341
210830203.01,4640
210830203.02,1901
210830204.0,2703
210830205.0,3701
210830206.0,2268
210830209.0,2976
211059701.0,4406
211419604.0,5092
211419606.0,2775
211719302.0,2211
211719303.0,2894
211719304.0,4232
212139701.0,2476
212139702.0,5090
212139704.01,4926
212139704.02,2619
212199503.0,2298
212199504.0,1414
212219702.02,3840
212219703.02,1983
212219801.0,1
212219802.0,2
470039501.0,4293
470039502.01,3509
470039502.02,4105
470039503.0,4003
470039504.01,6689
470039504.02,8507
470039505.0,6847
470039506.0,7953
470039507.0,3028
470039508.0,3034
470059630.0,3151
470059631.0,2931
470059632.0,2092
470059633.0,3757
470059634.0,3810
470079530.0,3879
470079531.01,1740
470079531.02,3894
470079532.0,5741
470159601.0,4197
470159602.01,2425
470159602.02,4700
470159603.0,3494
470179620.0,4241
470179621.01,3324
470179621.02,3864
470179622.01,3171
470179622.02,4546
470179623.0,4416
470179624.0,2631
470179625.0,2139
470179801.0,0
470210701.02,4108
470210701.03,3460
470210701.04,6454
470210702.01,5030
470210702.02,5847
470210702.03,3894
470210703.0,3835
470210704.01,2542
470210704.02,6922
470239701.01,2795
470239701.02,3573
470239702.0,5523
470239703.01,1668
470239703.02,3989
470279550.0,4787
470279551.0,2690
470319701.0,4018
470319702.01,3560
470319702.02,4300
470319703.0,2032
470319704.01,1906
470319704.02,5513
470319705.01,1258
470319705.02,5751
470319706.0,4467
470319707.0,4735
470319708.01,4381
470319708.03,3028
470319708.04,3901
470319709.0,4537
470319710.01,1245
470319710.02,5197
470319801.0,2
470339610.0,2148
470339611.0,4082
470339614.0,3797
470359702.02,2123
470359703.01,3482
470359703.02,4835
470359704.02,2286
470359706.01,5268
470359707.01,2370
470359707.02,5028
470370101.03,2656
470370101.04,3184
470370101.05,4634
470370101.06,3509
470370102.01,4229
470370102.02,4119
470370103.01,4304
470370103.02,1929
470370103.03,5986
470370104.01,5351
470370104.03,3629
470370104.04,2400
470370105.01,6081
470370105.02,5433
470370106.01,5434
470370106.02,3634
470370107.01,4548
470370107.02,3420
470370108.01,6068
470370108.02,3573
470370109.01,3298
470370109.03,6218
470370109.04,2978
470370110.01,6646
470370110.02,2615
470370111.0,3948
470370112.0,4353
470370113.0,5432
470370114.0,5411
470370115.0,3863
470370116.0,5564
470370117.0,6129
470370118.0,2684
470370119.0,3086
470370121.0,2637
470370122.0,2207
470370126.0,1969
470370127.01,6435
470370127.02,3305
470370128.01,5020
470370128.02,4300
470370130.01,572
470370130.02,1381
470370131.0,2397
470370132.01,3123
470370132.02,3806
470370133.0,6011
470370134.0,4476
470370135.0,2399
470370136.0,6841
470370137.01,3667
470370137.02,4479
470370138.0,1425
470370139.0,1645
470370142.0,2536
470370143.0,1857
470370144.0,2633
470370148.0,1514
470370151.0,4242
470370152.0,2634
470370153.0,6924
470370154.01,5425
470370154.02,5187
470370154.04,3140
470370154.05,4719
470370155.01,3599
470370155.02,4186
470370156.09,6607
470370156.13,5112
470370156.14,4508
470370156.15,5126
470370156.17,2467
470370156.18,6698
470370156.19,5668
470370156.2,7551
470370156.22,3955
470370156.23,5992
470370156.24,4691
470370156.25,5788
470370156.26,6932
470370156.27,3651
470370156.28,4071
470370156.29,6547
470370156.3,6253
470370156.32,4051
470370156.33,5201
470370156.34,14455
470370156.35,2626
470370156.36,3540
470370156.37,4419
470370157.0,1657
470370158.04,4409
470370158.05,3677
470370158.06,5918
470370159.0,3171
470370160.0,2929
470370161.0,2798
470370162.0,3941
470370163.0,3022
470370164.0,5186
470370165.0,4778
470370166.0,3587
470370167.0,5572
470370168.0,4539
470370169.0,4817
470370170.0,4571
470370171.0,4138
470370172.0,2141
470370173.0,3330
470370174.01,2431
470370174.02,6118
470370175.0,2920
470370177.01,2498
470370177.02,5004
470370178.0,6010
470370179.01,5699
470370179.02,4866
470370180.0,5149
470370181.01,5284
470370181.02,3428
470370182.01,3146
470370182.03,1474
470370182.04,3861
470370182.05,3425
470370183.02,3159
470370183.03,5937
470370183.04,4401
470370184.04,5300
470370184.05,5003
470370184.07,5141
470370184.08,3598
470370184.09,4272
470370184.1,3664
470370184.11,2933
470370184.12,4439
470370185.0,5296
470370186.01,2382
470370186.02,4444
470370187.0,3776
470370188.01,5845
470370188.03,4013
470370188.04,5183
470370189.01,3408
470370189.02,2619
470370189.04,4020
470370189.05,3496
470370190.03,4388
470370190.04,5074
470370190.07,2420
470370190.08,6324
470370191.05,6614
470370191.06,4222
470370191.08,3781
470370191.09,5618
470370191.1,3820
470370191.11,4565
470370191.12,7686
470370191.15,3872
470370191.16,7583
470370191.17,6634
470370191.18,5738
470370191.19,9742
470370191.2,2942
470370191.21,4657
470370192.0,3576
470370193.0,3795
470370194.01,4543
470370194.02,4277
470370195.01,4244
470370195.02,5043
470370195.03,5986
470370196.0,3727
470379801.0,5
470379802.0,2
470399550.01,1819
470399550.03,2604
470399550.04,2054
470399551.01,1677
470399551.02,3131
470419201.01,2565
470419201.02,4702
470419202.01,5450
