GEOID,2023-2028 Growth Rate: Owner Occ HUs
210039202.0,0.011399999999999999
210039203.0,-0.0017000000000000001
210039204.0,-0.0011
210039205.0,-0.0034999999999999996
210039206.0,-0.0009
210350101.0,0.0
210350102.0,-0.0023
210350103.01,0.0
210350103.03,0.0048
210350103.04,0.0125
210350104.0,0.0169
210350105.0,0.0043
210350106.01,0.0018
210350106.02,0.0068000000000000005
210350107.0,0.0028000000000000004
210350108.0,-0.0034000000000000002
210472013.01,0.0007000000000000001
210472013.03,0.006
210472013.04,0.010700000000000001
210472014.0,-0.0007000000000000001
210472015.01,0.0
210472015.02,0.0
210472015.03,0.0
210479801.0,0.0
210539701.0,-0.0007000000000000001
210539702.02,-0.003
210539702.03,-0.0069
210539702.04,0.0031
210579502.0,-0.0085
210759601.0,-0.0022
210759602.0,0.0
210830202.0,0.0003
210830203.01,0.0052
210830203.02,0.0098
210830204.0,0.001
210830205.0,-0.0011
210830206.0,-0.0008
210830209.0,-0.0006
211059701.0,-0.0038
211419604.0,0.0063
211419606.0,0.0015
211719302.0,-0.001
211719303.0,0.0046
211719304.0,0.0022
212139701.0,0.0149
212139702.0,0.002
212139704.01,0.025099999999999997
212139704.02,-0.0008
212199503.0,-0.005
212199504.0,-0.004
212219702.02,0.0046
212219703.02,-0.002
212219801.0,0.0
212219802.0,0.0
470039501.0,0.009000000000000001
470039502.01,0.0097
470039502.02,0.0092
470039503.0,0.0044
470039504.01,0.011899999999999999
470039504.02,0.020499999999999997
470039505.0,0.0132
470039506.0,0.013999999999999999
470039507.0,0.0
470039508.0,0.0055000000000000005
470059630.0,0.0016
470059631.0,0.0026
470059632.0,0.0045000000000000005
470059633.0,0.0
470059634.0,0.0016
470079530.0,0.0078000000000000005
470079531.01,0.0092
470079531.02,0.0106
470079532.0,0.0070999999999999995
470159601.0,0.0083
470159602.01,0.008199999999999999
470159602.02,0.0083
470159603.0,0.0015
470179620.0,0.0023
470179621.01,0.0
470179621.02,0.0051
470179622.01,0.0013
470179622.02,0.001
470179623.0,0.0043
470179624.0,0.0049
470179625.0,0.0
470179801.0,0.0
470210701.02,0.0044
470210701.03,0.0006
470210701.04,0.005600000000000001
470210702.01,0.015
470210702.02,0.0141
470210702.03,0.010700000000000001
470210703.0,0.0083
470210704.01,0.0098
470210704.02,-0.0001
470239701.01,0.011699999999999999
470239701.02,0.0037
470239702.0,0.0034999999999999996
470239703.01,0.0009
470239703.02,0.0015
470279550.0,0.0007000000000000001
470279551.0,-0.0002
470319701.0,0.006999999999999999
470319702.01,0.0019
470319702.02,0.0192
470319703.0,0.0025
470319704.01,0.0148
470319704.02,0.0182
470319705.01,0.0058
470319705.02,0.011000000000000001
470319706.0,0.0048
470319707.0,0.009300000000000001
470319708.01,0.0158
470319708.03,0.0121
470319708.04,0.016
470319709.0,0.008199999999999999
470319710.01,0.0268
470319710.02,0.0034000000000000002
470319801.0,0.0
470339610.0,0.0034000000000000002
470339611.0,-0.0007000000000000001
470339614.0,0.0005
470359702.02,0.0213
470359703.01,0.008100000000000001
470359703.02,0.015700000000000002
470359704.02,0.0155
470359706.01,0.004699999999999999
470359707.01,0.0132
470359707.02,0.0148
470370101.03,0.0055000000000000005
470370101.04,-0.0037
470370101.05,0.0006
470370101.06,0.0315
470370102.01,-0.0002
470370102.02,-0.004
470370103.01,0.0051
470370103.02,0.0123
470370103.03,0.0044
470370104.01,0.0104
470370104.03,0.0118
470370104.04,0.0048
470370105.01,0.0123
470370105.02,0.006500000000000001
470370106.01,0.0025
470370106.02,0.006999999999999999
470370107.01,0.0212
470370107.02,0.0131
470370108.01,0.013000000000000001
470370108.02,0.0052
470370109.01,-0.0002
470370109.03,0.0219
470370109.04,0.0129
470370110.01,0.006999999999999999
470370110.02,0.0
470370111.0,-0.0009
470370112.0,-0.0028000000000000004
470370113.0,0.0
470370114.0,0.0219
470370115.0,0.0015
470370116.0,0.0146
470370117.0,0.0034999999999999996
470370118.0,0.011699999999999999
470370119.0,0.0271
470370121.0,-0.0022
470370122.0,0.0002
470370126.0,0.0005
470370127.01,0.001
470370127.02,0.0025
470370128.01,0.0072
470370128.02,0.0078000000000000005
470370130.01,0.0
470370130.02,0.0
470370131.0,-0.0036
470370132.01,0.0027
470370132.02,0.0048
470370133.0,0.0101
470370134.0,-0.0034999999999999996
470370135.0,0.0019
470370136.0,0.0058
470370137.01,0.0092
470370137.02,0.0
470370138.0,0.0031
470370139.0,0.0044
470370142.0,0.0052
470370143.0,0.0231
470370144.0,0.0
470370148.0,0.035
470370151.0,0.0116
470370152.0,0.0126
470370153.0,0.0155
470370154.01,-0.004699999999999999
470370154.02,0.041100000000000005
470370154.04,0.0003
470370154.05,-0.001
470370155.01,0.0246
470370155.02,0.0089
470370156.09,0.0034999999999999996
470370156.13,0.009399999999999999
470370156.14,-0.0045000000000000005
470370156.15,0.0054
470370156.17,-0.0038
470370156.18,0.0021
470370156.19,0.0008
470370156.2,-0.0018
470370156.22,0.025
470370156.23,0.0036
470370156.24,0.0028000000000000004
470370156.25,0.0014000000000000002
470370156.26,0.0109
470370156.27,0.013600000000000001
470370156.28,0.015700000000000002
470370156.29,0.0256
470370156.3,0.011200000000000002
470370156.32,0.015700000000000002
470370156.33,0.0070999999999999995
470370156.34,0.008
470370156.35,-0.004
470370156.36,0.0125
470370156.37,-0.0097
470370157.0,-0.0040999999999999995
470370158.04,0.01
470370158.05,0.0015
470370158.06,0.0072
470370159.0,0.0276
470370160.0,0.0
470370161.0,0.0
470370162.0,0.0012
470370163.0,0.0034000000000000002
470370164.0,0.0038
470370165.0,0.0
470370166.0,0.0049
470370167.0,0.0046
470370168.0,0.0079
470370169.0,0.0015
470370170.0,-0.0043
470370171.0,0.0060999999999999995
470370172.0,0.0
470370173.0,0.0034999999999999996
470370174.01,0.0203
470370174.02,0.0027
470370175.0,0.0097
470370177.01,-0.004
470370177.02,-0.0029
470370178.0,0.0024
470370179.01,-0.002
470370179.02,-0.0051
470370180.0,-0.0003
470370181.01,0.011899999999999999
470370181.02,0.0013
470370182.01,-0.0029
470370182.03,-0.0072
470370182.04,0.0092
470370182.05,0.0089
470370183.02,0.009300000000000001
470370183.03,0.0037
470370183.04,-0.005699999999999999
470370184.04,0.008100000000000001
470370184.05,-0.0039000000000000003
470370184.07,-0.0060999999999999995
470370184.08,0.0011
470370184.09,-0.0034000000000000002
470370184.1,0.028900000000000002
470370184.11,0.0045000000000000005
470370184.12,0.0029
470370185.0,-0.0031
470370186.01,-0.0059
470370186.02,-0.005600000000000001
470370187.0,-0.005
470370188.01,-0.0017000000000000001
470370188.03,0.0002
470370188.04,0.0085
470370189.01,0.0032
470370189.02,0.011000000000000001
470370189.04,0.001
470370189.05,0.011200000000000002
470370190.03,-0.0004
470370190.04,0.018000000000000002
470370190.07,-0.0012
470370190.08,0.0151
470370191.05,0.0202
470370191.06,0.006
470370191.08,0.0063
470370191.09,-0.0021
470370191.1,0.0021
470370191.11,0.0053
470370191.12,0.0067
470370191.15,-0.005
470370191.16,0.0121
470370191.17,0.0636
470370191.18,0.0068000000000000005
470370191.19,0.0078000000000000005
470370191.2,-0.001
470370191.21,0.011899999999999999
470370192.0,0.0045000000000000005
470370193.0,0.0058
470370194.01,0.0
470370194.02,0.0098
470370195.01,0.0
470370195.02,0.0
470370195.03,0.0014000000000000002
470370196.0,0.0015
470379801.0,0.0
470379802.0,0.0
470399550.01,-0.0017000000000000001
470399550.03,0.004699999999999999
470399550.04,0.004699999999999999
470399551.01,-0.0051
470399551.02,-0.0014000000000000002
470419201.01,0.0075
470419201.02,0.0077
470419202.01,0.0183
470419202.02,0.0008
470419203.0,0.0104
470430601.0,0.0138
470430602.01,0.0131
470430602.02,0.0062
470430603.0,0.0083
470430604.01,0.006500000000000001
470430604.02,0.0062
470430605.01,0.0074
470430605.02,0.0026
470430606.01,0.008199999999999999
470430606.02,0.0241
470430607.0,0.0052
470499650.0,0.0060999999999999995
470499653.0,0.013999999999999999
470519601.0,0.0059
470519602.01,0.0147
470519602.02,0.0037
470519603.0,0.0066
470519604.01,0.0078000000000000005
470519604.02,0.0152
470519605.0,0.0068000000000000005
470519606.0,0.009399999999999999
470519607.0,-0.0038
470519608.0,0.0034000000000000002
470539661.0,0.0052
470539662.0,-0.001
470539663.0,0.001
470539664.0,0.0016
470539665.01,0.0013
470539665.02,0.0062
470539666.0,-0.0024
470539667.01,0.004699999999999999
470539667.02,-0.0008
470539668.0,-0.0034000000000000002
470539669.0,-0.0015
470539670.01,0.0058
470539670.02,0.0175
470539671.0,0.0118
470539673.0,-0.0028000000000000004
470539674.0,-0.0013
470539801.0,0.0
470559201.0,0.0038
470559202.0,0.0072
470559203.01,0.0033
470559203.02,0.0006
470559204.0,0.011899999999999999
470559205.0,0.0084
470559206.0,0.0070999999999999995
470559207.0,0.0009
470559208.0,0.0034999999999999996
470619550.0,0.0004
470619551.0,0.0092
470619552.0,0.0013
470619553.0,0.0109
470650101.01,0.0053
470650101.03,0.011000000000000001
470650101.04,0.0148
470650102.01,0.018600000000000002
470650102.02,0.0109
470650103.03,0.006999999999999999
470650103.04,0.0023
470650103.05,0.0016
470650103.06,0.0092
470650103.08,0.0109
470650103.09,0.0044
470650104.11,0.0116
470650104.12,0.0059
470650104.13,-0.0002
470650104.31,0.0131
470650104.32,0.0045000000000000005
470650104.33,0.0039000000000000003
470650104.34,0.0013
470650104.35,0.011000000000000001
470650105.01,0.0066
470650106.0,0.004699999999999999
470650109.02,0.0070999999999999995
470650109.05,0.02
470650110.01,0.0012
470650110.03,0.0125
470650110.04,0.0043
470650111.0,-0.0008
470650112.05,0.0106
470650114.13,0.0124
470650114.47,0.0026
470699501.0,-0.002
470699502.0,0.0007000000000000001
470699503.0,0.0008
470699504.0,0.0034000000000000002
470699505.0,0.0052
470699506.0,-0.003
470719201.0,0.012
470719202.0,0.005600000000000001
470719203.0,0.0073
470719204.01,0.009300000000000001
470719204.02,0.0072
470719205.01,0.0053
470719206.0,0.0043
470759301.0,0.0025
470759305.0,0.0048
470779750.0,-0.0015
470779751.0,0.0037
470779752.0,0.0031
470779753.01,0.0046
470779753.02,0.0098
470779754.0,0.0032
470779755.0,-0.001
470799690.01,0.0091
470799690.02,0.0
470799691.0,0.0070999999999999995
470799692.0,0.0012
470799693.0,0.0068000000000000005
470799694.0,0.0044
470799695.01,0.0026
470799695.02,0.002
470799696.01,0.0013
470799696.02,-0.0003
470799697.0,0.0043
470799698.0,0.0003
470819501.0,0.0031
470819502.01,0.0086
470819502.02,0.0077
470819503.01,0.0007000000000000001
470819503.02,0.0073
470819504.0,0.0088
470819505.0,-0.0012
470831201.0,0.0091
470831202.0,0.0026
470831203.0,-0.0026
470851301.0,0.008
470851302.0,0.0105
470851303.0,-0.0016
470851304.0,0.0
470851305.0,-0.0027
470879601.0,0.0083
470879602.0,-0.0005
470879603.0,0.0038
470879604.0,-0.001
470999601.0,0.023799999999999998
470999602.0,0.0012
470999603.0,0.0097
470999604.01,0.0084
470999604.02,0.0078000000000000005
470999605.01,0.0089
470999605.02,0.0012
470999606.0,0.0013
470999607.0,0.0037
470999608.0,0.0077
471019701.0,0.010700000000000001
471019702.0,0.0055000000000000005
471039750.0,0.0059
471039751.0,0.0068000000000000005
471039752.0,0.0084
471039753.0,0.0085
471039754.0,0.0045000000000000005
471039755.0,0.011200000000000002
471039757.0,0.0025
471099301.0,0.0092
471099302.0,0.0027
471099303.0,0.0015
471099304.0,0.0019
471099305.01,0.0019
471099305.02,0.0007000000000000001
471099306.0,0.0014000000000000002
471099307.0,0.0038
471119701.0,0.011699999999999999
471119702.0,0.0103
